L,M,P,kUn,kLn,kU,kL,RF,KF,Trip,TripL,Align,Sim,Node,nPH85,MAST,pathdist,pathdistw,BHV,KC,KCw
0.0014331797,0.0002898315,0.03487693,0.7620443606,0.1283537848,0.0174624122,0.0338042928,24.9,2391.2308616571,0.5323382353,875.5605180544,6.0647997558,0.5419718057,1.2324610559,0.8953333333,9.36,30.0303250205,19598.4379408448,2369.20610637,22.1617718892,8632.644860811
0.001465918,2.04966357893E-05,0.8589393154,0.8322392099,0.7318869668,0.6601358137,0.8499277484,7.34,1475.1198038247,0.2345147059,369.4319796929,4.5900412088,0.3883569391,0.9614559346,0.2853333333,3.5,13.4578375326,10569.2764121743,1453.6635175979,13.2514345023,5874.1616216741
0.0015151748,3.71892194536E-06,0.9298217619,0.8889398357,0.8488762722,0.7959466299,0.9346565561,3.98,929.075416054,0.1517205882,216.9197597001,3.1236734377,0.2629302461,0.6687725105,0.164,2.18,7.8618860828,6326.0023899647,1032.5483036627,8.9497057206,3658.6755117022
0.0015509231,0.1996740186,0.7441901298,0.7174301262,0.018365366,0.1092489911,4.07517485587E-22,27.58,2129.7697500238,0.6663382353,911.1539433657,6.5567665668,0.7185709431,1.2719382846,0.9853333333,10.65,35.3879306264,15990.1794889524,2163.4944204643,25.5145808919,7782.5810714212
0.0016087723,0.0159111538,0.1887256217,0.7502148834,0.035062361,0.0375216088,0.0215023649,27.32,2227.00799251,0.6635588235,1017.732688492,6.4652841325,0.6635699273,1.2530107519,0.9766666667,10.67,34.679826451,18632.5877346698,2273.5612798261,24.9806446647,7745.9288951258
0.0016669855,0.0007848473,0.1351028647,0.7572671514,0.1152999988,0.0567624849,0.1082628337,25.02,2102.7530857345,0.5336176471,809.9350563749,6.2749998057,0.555598008,1.2485278841,0.9,9.47,29.7566364515,17218.2486570625,2147.9720837836,22.4853856682,7368.7975965203
0.0017146608,0.0024055915,0.7914890871,0.7369760396,0.4043653724,0.3347872516,0.5070908398,19.34,1917.1993364057,0.4944852941,700.5226763906,6.3194237152,0.5992117425,1.2483940443,0.7026666667,7.71,26.5458533346,14590.8688932424,1934.4636348336,20.8595532594,7122.7941446702
0.0017281141,0.002683796,0.1717473629,0.7517280552,0.1052044296,0.049781502,0.0909826943,25.8,2135.0594703675,0.6028676471,902.0250868598,6.3600236985,0.6038113611,1.255212804,0.9233333333,10.02,32.3739184812,17621.5676338461,2154.0830603382,23.7880324542,7413.3895680066
0.0017756956,0.0001501442,0.5997654132,0.731189941,0.40025064,0.2987895655,0.4966815877,17.54,1747.3942385565,0.3896764706,555.7215375192,6.0410191753,0.5157918418,1.2175577982,0.64,6.84,23.4259911069,13406.3705734117,1779.1689847561,18.5360770302,6404.7744670114
0.0018309691,0.0001084048,0.4422559613,0.7359546187,0.304162779,0.2021064185,0.3966133482,19.94,1915.9364274371,0.4218235294,620.3886847868,6.1160801143,0.52259905,1.2477046057,0.726,7.7,26.247555578,14441.3894777854,1923.2682820713,19.5373840773,7038.5052600807
0.0018991389,0.0018708266,0.3270395717,0.7420065238,0.1903698819,0.1129910174,0.2168261223,24.06,2000.0866156714,0.5474117647,795.5702341536,6.204720696,0.5920431241,1.245052161,0.8646666667,9.11,30.3844334779,16125.6656912929,2063.5873280093,22.3706702535,7115.7390485848
